artist_display_name,artist_begin_date,artist_end_date,artist_display_bio,artist_alpha_sort,artist_nationality,artist_ulan_url,artist_wikidata_url,artist_id
William Savery,1722      ,1787      ,1722–1787,"Savery, William",American,http://vocab.getty.edu/page/ulan/500051929,https://www.wikidata.org/wiki/Q16859540,WS024
Susan Macdowell Eakins,1851      ,1938      ,1851–1938,"Eakins, Susan Macdowell", ,http://vocab.getty.edu/page/ulan/500022847,https://www.wikidata.org/wiki/Q3638402,SE006
Sara Peters Grozelier,1821      ,1907      ,1821–1907,"Grozelier, Sara Peters",American,,https://www.wikidata.org/wiki/Q22691377,SG011
Aramenta Dianthe Vail,1820      ,1888      ,1820–1888,"Vail, Aramenta Dianthe",American,,https://www.wikidata.org/wiki/Q22276332,AV003
Gilbert Gaw,1796      ,1823      ,active 1796–1823,"Gaw, Gilbert",American,,,GG005
Daniel Cottier,1838      ,1891      ,"British, Glasgow, Scotland 1838–1891 Jacksonville, Florida","Cottier, Daniel","British, Scottish",http://vocab.getty.edu/page/ulan/500062859,https://www.wikidata.org/wiki/Q5216870,DC008
Adam Hains,1768      ,1821      ,1768–after 1820,"Hains, Adam",American,http://vocab.getty.edu/page/ulan/500069577,,AH013
Dihl et Guérhard,1781      ,1824      ,"French, 1781–ca. 1824",Dihl et Guérhard,French,http://vocab.getty.edu/page/ulan/500490251,,DG003
Edward Sheffield Bartholomew,1822      ,1858      ,1822–1858,"Bartholomew, Edward Sheffield",American,(not assigned),https://www.wikidata.org/wiki/Q5345296,EB012
"Pelletreau, Bennett & Cooke",1826      ,1828      ,active 1826–28,"Pelletreau, Bennett & Cooke",American,,,PC011
Arthur E. Baggs,1886      ,1947      ,1886–1947,"Baggs, Arthur E.",American,http://vocab.getty.edu/page/ulan/500313752,https://www.wikidata.org/wiki/Q4798617,AB018
Marblehead Pottery,1905      ,1936      ,1905–36,Marblehead Pottery , ,,,MP011
Van Briggle Pottery Company,1901      ,9999      ,1901–present,Van Briggle Pottery Company ,American,(not assigned),https://www.wikidata.org/wiki/Q56439451,VC002
Thomas Brooks,1810      ,1887      ,1810/11–1887,"Brooks, Thomas",American,http://vocab.getty.edu/page/ulan/500034937,https://www.wikidata.org/wiki/Q99634511,TB012
Alma H. Bliss,1875      ,1969      ,1875–after 1959,"Bliss, Alma H.",American,,https://www.wikidata.org/wiki/Q21683452,AB019
Virginia Hendrickson Irvin,1904      ,1992      ,1904–1992,"Irvin, Virginia Hendrickson",American,,https://www.wikidata.org/wiki/Q20823861,VI001
Bartholomew Le Roux,1663      ,1713      ,ca. 1665–1713,"Le Roux, Bartholomew",American,http://vocab.getty.edu/page/ulan/500094073,https://www.wikidata.org/wiki/Q55720927,BR002
Lilly Martin Spencer,1822      ,1902      ,1822–1902,"Spencer, Lilly Martin",American,http://vocab.getty.edu/page/ulan/500016080,https://www.wikidata.org/wiki/Q2986384,LS006
Gloucester Porcelain Company,1860      ,          , ,Gloucester Porcelain Company,American,,,GC017
Larkin Goldsmith Mead,1835      ,1910      ,1835–1910,"Mead, Larkin Goldsmith",American,http://vocab.getty.edu/page/ulan/500331543,https://www.wikidata.org/wiki/Q515535,LM006
Marc Schoelcher,1798      ,1834      ,established 1798–1834,"Schoelcher, Marc",French,,,MS014
Carducius Plantagenet Ream,1838      ,1917      ,1838–1917,"Ream, Carducius Plantagenet",American,http://vocab.getty.edu/page/ulan/500031601,https://www.wikidata.org/wiki/Q20892627,CR008
Margaret Bogardus,1804      ,1878      ,1804–1878,"Bogardus, Margaret",American,http://vocab.getty.edu/page/ulan/500334192,https://www.wikidata.org/wiki/Q21647194,MB019
Angelica Kauffmann,1741      ,1807      ,"Swiss, Chur 1741–1807 Rome","Kauffmann, Angelica",Swiss,http://vocab.getty.edu/page/ulan/500115055,https://www.wikidata.org/wiki/Q123098,AK006
J. & I. Cox,1818      ,1853      ,1818–1853,"Cox, J. & I.",American,,,JC046
C. Foote,          ,9999      , ,"Foote, C.",American,,,CF009
Charles F. Mason,          ,9999      , ,"Mason, Charles F.",American,,,CM005
Jaques & Marcus,1882      ,1892      ,active 1882–92,Jaques & Marcus,American,,,JM034
George W. Shiebler & Co.,1876      ,1907      ,1876–1907,Shiebler & Co. George W.,American,,,GC019
Riker Brothers,1892      ,1926      ,active 1892–1926,Riker Brothers,American,,,RB011
Edward Everett Oakes,1891      ,1960      ,"American, 1891–1960","Oakes, Edward Everett",American,http://vocab.getty.edu/page/ulan/500524395,,EO001
James Callowhill,1838      ,1917      ,1838–1917,"Callowhill, James",American,http://vocab.getty.edu/page/ulan/500100701,https://www.wikidata.org/wiki/Q46512173,JC047
Nathan Lombard,1777      ,1897      , ,"Lombard, Nathan",American,,,NL003
Abigail Ridgway,1778      ,          ,born 1778,"Ridgway, Abigail",American,,,AR011
Anne Chase,1709      ,1809      ,born 1709,"Chase, Anne",American,,,AC020
Foster & Lee,1808      ,1908      ,active 1858 and later,Foster & Lee,American,,,FL005
William Rush,1756      ,1833      ,1756–1833,"Rush, William",American,http://vocab.getty.edu/page/ulan/500021866,https://www.wikidata.org/wiki/Q1372840,WR008
Lawrence Kilburn (or Kilbrunn),1720      ,1775      ,1720–1775,"Kilburn, (or Kilbrunn) Lawrence",British,http://vocab.getty.edu/page/ulan/500001561,https://www.wikidata.org/wiki/Q19874871,LK002
Henry E. Sharp,1847      ,1897      ,active ca. 1850–ca. 1897,"Sharp, Henry E.",American,http://vocab.getty.edu/page/ulan/500356179,https://www.wikidata.org/wiki/Q5720654,HS011
Albertis del Orient Browere,1814      ,1887      ,1814–1887,"Browere, Albertis del Orient",American,http://vocab.getty.edu/page/ulan/500024471,https://www.wikidata.org/wiki/Q20926463,AB021
Rouse Pottery,          ,9999      , ,Rouse Pottery,American,,,RP010
Paul Cushman,1767      ,1833      ,1767–1833,"Cushman, Paul",American,,,PC012
George W. Twibill Jr.,1806      ,1836      ,1806–1836,"Twibill, George W. Jr.",American,,https://www.wikidata.org/wiki/Q22341565,GJ006
Onata North Fitts,1871      ,1946      ,1871–1946,"Fitts, Onata North",American,,,OF004
Ann Sayres,1727      ,9999      ,born 1727,"Sayres, Ann",American,,,AS016
Marion Caroline Hoffman Hartman,1892      ,1892      ,born 1892,"Hoffman, Hartman Marion Caroline",American,,https://www.wikidata.org/wiki/Q22284619,MH009
Edward C. Moore,1827      ,1891      ,"American, New York 1827–1891 New York","Moore, Edward C.",American,http://vocab.getty.edu/page/ulan/500082289,https://www.wikidata.org/wiki/Q55720214,EM010
Thomas Townsend,1742      ,1827      ,1742–1827,"Townsend, Thomas",American,,,TT005
Erhard & Söhne,          ,          ,German,Erhard & Söhne,German,,,ES017
Myra Bates (Willcutt),1798      ,1885      ,1798–1885,"Bates, (Willcutt) Myra",American,,,M(001
A. J. Hedges & Co.,1877      ,1965      ,1877–ca.1965,A. J. Hedges & Co.,American,,,AC021
Daniel Pontifex,1791      ,1811      ,"British, active 1791–1811","Pontifex, Daniel",British,http://vocab.getty.edu/page/ulan/500524335,,DP007
