artist_display_name,artist_begin_date,artist_end_date,artist_display_bio,artist_alpha_sort,artist_nationality,artist_ulan_url,artist_wikidata_url,artist_id
Girolamo dai Libri,1474      ,1555      ,"Italian, Verona 1474–1555 Verona",Girolamo dai Libri,Italian,http://vocab.getty.edu/page/ulan/500023072,https://www.wikidata.org/wiki/Q1440424,GL146
Margareta Haverman,1693      ,1722      ,"Dutch, Breda 1693–1722 or later","Haverman, Margareta",Dutch,http://vocab.getty.edu/page/ulan/500013295,https://www.wikidata.org/wiki/Q3290536,MH118
Melchior d' Hondecoeter,1636      ,1695      ,"Dutch, Utrecht 1636–1695 Amsterdam","Hondecoeter, Melchior d'",Dutch,http://vocab.getty.edu/page/ulan/500026698,https://www.wikidata.org/wiki/Q304411,MH120
Pieter de Hooch,1629      ,1684      ,"Dutch, Rotterdam 1629–1684 Amsterdam","Hooch, Pieter de",Dutch,http://vocab.getty.edu/page/ulan/500020229,https://www.wikidata.org/wiki/Q314889,PH080
Master of the Magdalen,1265      ,1295      ,"Italian, Florence, active 1265–95",Master of the Magdalen,Italian,http://vocab.getty.edu/page/ulan/500023204,https://www.wikidata.org/wiki/Q1117749,MM207
Italian (Pisan) Painter,          ,          ,second quarter 14th century,Italian (Pisan) Painter,Italian,,,IP063
Italian (Sienese) Painter,          ,          ,dated 1343,Italian (Sienese) Painter,Italian,,,IP064
Jacometto (Jacometto Veneziano),1472      ,1498      ,"Italian, active Venice by ca. 1472–died before 1498",Jacometto (Jacometto Veneziano),Italian,http://vocab.getty.edu/page/ulan/500020119,https://www.wikidata.org/wiki/Q6223610,JV114
Jan Joest of Kalkar,1510      ,1520      ,"Netherlandish, active ca. 1515","Joest of Kalkar, Jan",German,http://vocab.getty.edu/page/ulan/500010795,https://www.wikidata.org/wiki/Q1681906,JK163
Arkhyp Kuindzhi (Arkhip Ivanovich Kuindzhi),1841      ,1910      ,"Ukrainian, born Russian Empire, Mariupol 1841–1910 St. Petersburg","Kuindzhi, Arkhyp","Ukrainian, born Russian Empire",http://vocab.getty.edu/page/ulan/500003860,https://www.wikidata.org/wiki/Q353628,AK091
Andreas Altomonte,1699      ,1780      ,"Austrian, Warsaw or Vienna 1699–1780 Vienna","Altomonte, Andreas",Austrian,(not assigned),https://www.wikidata.org/wiki/Q37766308,AA128
Henry Lerolle,1848      ,1929      ,"French, Paris 1848–1929 Paris","Lerolle, Henry",French,http://vocab.getty.edu/page/ulan/500027906,https://www.wikidata.org/wiki/Q2625979,HL112
Master of the Acts of Mercy,1460      ,1470      ,"Austrian, Salzburg, ca. 1465",Master of the Acts of Mercy,Austrian,http://vocab.getty.edu/page/ulan/500005656,https://www.wikidata.org/wiki/Q1277376,MM209
Master of the Annunciation to the Shepherds,1615      ,1645      ,"Italian, active Naples, ca. 1620–40",Master of the Annunciation to the Shepherds,Italian,,,MS229
Master of Flora,1550      ,1599      ,"Italian, Fontainebleau, second half 16th century",Master of Flora,Italian,http://vocab.getty.edu/page/ulan/500020227,https://www.wikidata.org/wiki/Q1918369,MF102
Master of the Saint Godelieve Legend,1475      ,1499      ,"Netherlandish, active fourth quarter 15th century",Master of the Saint Godelieve Legend,Netherlandish,http://vocab.getty.edu/page/ulan/500197640,https://www.wikidata.org/wiki/Q21852458,ML145
Matteo di Giovanni di Bartolo,1430      ,1497      ,"Italian, Siena ca. 1430–1497 Siena",Matteo di Giovanni di Bartolo,Italian,http://vocab.getty.edu/page/ulan/500025991,https://www.wikidata.org/wiki/Q1373474,MB263
Luis Meléndez,1716      ,1780      ,"Spanish, Naples 1716–1780 Madrid","Meléndez, Luis",Spanish,http://vocab.getty.edu/page/ulan/500012595,https://www.wikidata.org/wiki/Q707478,LM163
Daniël Mijtens,1585      ,1648      ,"Dutch, Delft ca. 1590–1647/48 The Hague","Mijtens, Daniël",Dutch,http://vocab.getty.edu/page/ulan/500011859,https://www.wikidata.org/wiki/Q655535,DM115
Morata Master,1470      ,1499      ,"Spanish, Aragonese, late 15th century",Morata Master,Spanish,http://vocab.getty.edu/page/ulan/500039615,https://www.wikidata.org/wiki/Q21853443,MM214
Jan Mostaert,1498      ,1556      ,"Netherlandish, active by 1498–died 1555/56","Mostaert, Jan",Netherlandish,http://vocab.getty.edu/page/ulan/500006027,https://www.wikidata.org/wiki/Q577279,JM456
Martin van Meytens the Younger,1695      ,1770      ,"Swedish, 1695–1770","Meytens, Martin van, the Younger",Swedish,http://vocab.getty.edu/page/ulan/500025098,https://www.wikidata.org/wiki/Q1082324,MY022
Netherlandish (Bruges) Painter,          ,          ,ca. 1490,Netherlandish (Bruges) Painter,Netherlandish,,,NP066
Niccolò di Buonaccorso,1372      ,1388      ,"Italian, active Siena by 1372–died 1388 Siena",Niccolò di Buonaccorso,Italian,http://vocab.getty.edu/page/ulan/500120787,https://www.wikidata.org/wiki/Q3875919,NB087
Pseudo-Palmeruccio,1320      ,1360      ,"Italian, Gubbio, active ca. 1320–60",Pseudo-Palmeruccio,Italian,http://vocab.getty.edu/page/ulan/500031452,https://www.wikidata.org/wiki/Q3119489,P147
Paolo di Giovanni Fei,1369      ,1411      ,"Italian, San Quirico, active by 1369–died 1411","Fei, Paolo di Giovanni",Italian,http://vocab.getty.edu/page/ulan/500013966,https://www.wikidata.org/wiki/Q1361116,PF087
Alvaro Pirez,1411      ,1434      ,"Portuguese, Évora, active 1411–34 Italy","Pirez, Alvaro",Portuguese,http://vocab.getty.edu/page/ulan/500026061,https://www.wikidata.org/wiki/Q10395841,AP225
Jan Provost,1460      ,1529      ,"Netherlandish, Mons (Bergen) ca. 1465–1529 Bruges","Provost, Jan",Netherlandish,http://vocab.getty.edu/page/ulan/500022669,https://www.wikidata.org/wiki/Q672255,JP296
Henri Regnault,1843      ,1871      ,"French, Paris 1843–1871 Buzenval","Regnault, Henri",French,http://vocab.getty.edu/page/ulan/500022082,https://www.wikidata.org/wiki/Q553571,HR099
Henri Rousseau (le Douanier),1844      ,1910      ,"French, Laval 1844–1910 Paris","Rousseau, Henri (le Douanier)",French,http://vocab.getty.edu/page/ulan/500115462,https://www.wikidata.org/wiki/Q156386,HD072
Sano di Pietro (Ansano di Pietro di Mencio),1405      ,1481      ,"Italian, Siena 1405–1481 Siena",Sano di Pietro (Ansano di Pietro di Mencio),Italian,http://vocab.getty.edu/page/ulan/500115558,https://www.wikidata.org/wiki/Q1379714,SM133
Sassetta (Stefano di Giovanni),1400      ,1450      ,"Italian, Siena or Cortona ca. 1400–1450 Siena",Sassetta (Stefano di Giovanni),Italian,http://vocab.getty.edu/page/ulan/500021319,https://www.wikidata.org/wiki/Q362016,SG088
Segna di Buonaventura,1298      ,1331      ,"Italian, active Siena by 1298–died 1326/31",Segna di Buonaventura,Italian,http://vocab.getty.edu/page/ulan/500026523,https://www.wikidata.org/wiki/Q929809,SB213
Simone Martini,1315      ,1344      ,"Italian, Siena, active by 1315–died 1344 Avignon","Martini, Simone",Italian,http://vocab.getty.edu/page/ulan/500399029,https://www.wikidata.org/wiki/Q221043,SM134
Spinello Aretino (Spinello di Luca Spinelli),1345      ,1410      ,"Italian, born Arezzo 1345–52, died 1410 Arezzo",Spinello Aretino (Spinello di Luca Spinelli),Italian,http://vocab.getty.edu/page/ulan/500030643,https://www.wikidata.org/wiki/Q287934,SS210
Jan Steen,1626      ,1679      ,"Dutch, Leiden 1626–1679 Leiden","Steen, Jan",Dutch,http://vocab.getty.edu/page/ulan/500115664,https://www.wikidata.org/wiki/Q205863,JS594
Nicolaos Tzafouris,1455      ,1501      ,"Greek, ca. 1455–1500/1501","Tzafouris, Nicolaos",Greek,http://vocab.getty.edu/page/ulan/500199194,https://www.wikidata.org/wiki/Q18210625,NT023
Emmanuel Tzanès,1636      ,1690      ,"Greek, active by 1636–died 1690","Tzanès, Emmanuel",Greek,http://vocab.getty.edu/page/ulan/500024925,https://www.wikidata.org/wiki/Q1338447,ET079
Velázquez,1599      ,1660      ,"Spanish, Seville 1599–1660 Madrid",Velázquez,Spanish,http://vocab.getty.edu/page/ulan/500016881,https://www.wikidata.org/wiki/Q297,V062
Johannes Verspronck,1601      ,1662      ,"Dutch, Haarlem, born ca. 1601–3, died 1662 Haarlem","Verspronck, Johannes",Dutch,http://vocab.getty.edu/page/ulan/500013071,https://www.wikidata.org/wiki/Q577974,JV118
Bartolomeo Vivarini,1450      ,1491      ,"Italian, active Venice 1450–91","Vivarini, Bartolomeo",Italian,http://vocab.getty.edu/page/ulan/500029396,https://www.wikidata.org/wiki/Q456971,BV026
Hendrick van Vliet,1611      ,1675      ,"Dutch, Delft 1611/12–1675 Delft","Vliet, Hendrick van",Dutch,http://vocab.getty.edu/page/ulan/500011033,https://www.wikidata.org/wiki/Q864173,HV036
Jan Weenix,1641      ,1719      ,"Dutch, Amsterdam ca. 1641?–1719 Amsterdam","Weenix, Jan",Dutch,http://vocab.getty.edu/page/ulan/500010753,https://www.wikidata.org/wiki/Q1346044,JW318
Peter Wtewael,1596      ,1660      ,"Dutch, Utrecht 1596–1660 Utrecht","Wtewael, Peter",Dutch,http://vocab.getty.edu/page/ulan/500019494,https://www.wikidata.org/wiki/Q595150,PW042
Willem Claesz Heda,1594      ,1680      ,"Dutch, Haarlem? 1594–1680 Haarlem","Heda, Willem Claesz",Dutch,http://vocab.getty.edu/page/ulan/500018917,https://www.wikidata.org/wiki/Q40150,WH155
Emanuel de Witte,1616      ,1692      ,"Dutch, Alkmaar ca. 1616–1692 Amsterdam","Witte, Emanuel de",Dutch,http://vocab.getty.edu/page/ulan/500025645,https://www.wikidata.org/wiki/Q711203,EW100
Jean Alaux,1786      ,1864      ,"French, Bordeaux 1786–1864 Paris","Alaux, Jean",French,http://vocab.getty.edu/page/ulan/500018163,https://www.wikidata.org/wiki/Q1232255,JA193
Joseph Bidauld,1758      ,1846      ,"French, Carpentras 1758–1846 Montmorency","Bidauld, Joseph",French,http://vocab.getty.edu/page/ulan/500024891,https://www.wikidata.org/wiki/Q3166488,JB626
Jules Coignet,1798      ,1860      ,"French, Paris 1798–1860 Paris","Coignet, Jules",French,http://vocab.getty.edu/page/ulan/500015282,https://www.wikidata.org/wiki/Q347455,JC582
Simon Denis,1755      ,1813      ,"Flemish, Antwerp 1755–1813 Naples","Denis, Simon",Flemish,http://vocab.getty.edu/page/ulan/500007133,https://www.wikidata.org/wiki/Q3484255,SD081
Alexandre Hyacinthe Dunouy,1757      ,1841      ,"French, Paris 1757–1841 Jouy-en-Josas","Dunouy, Alexandre Hyacinthe",French,http://vocab.getty.edu/page/ulan/500029426,https://www.wikidata.org/wiki/Q2833359,AD172
"Antoine-Xavier-Gabriel de Gazeau, comte de La Bouëre",1801      ,1881      ,"French, Jallais 1801–1881 Grenoble","La Bouëre, Antoine-Xavier-Gabriel de Gazeau, comte de",French,http://vocab.getty.edu/page/ulan/500141082,https://www.wikidata.org/wiki/Q21852553,AB360
Auguste-Xavier Leprince,1799      ,1826      ,"French, Paris 1799–1826 Nice","Leprince, Auguste-Xavier",French,http://vocab.getty.edu/page/ulan/500022039,https://www.wikidata.org/wiki/Q3570722,AL211
Léon Pallière,1787      ,1820      ,"French, Bordeaux 1787–1820 Bordeaux","Pallière, Léon",French,http://vocab.getty.edu/page/ulan/500003185,https://www.wikidata.org/wiki/Q15275368,LP122
Charles Rémond,1795      ,1875      ,"French, Paris 1795–1875 Paris","Rémond, Jean-Charles-Joseph",French,http://vocab.getty.edu/page/ulan/500000064,https://www.wikidata.org/wiki/Q3164608,CR137
Léopold Robert,1794      ,1835      ,"Swiss, Eplatures 1794–1835 Venice","Robert, Léopold",Swiss,http://vocab.getty.edu/page/ulan/500027324,https://www.wikidata.org/wiki/Q664602,LR105
Constantin Hansen,1804      ,1880      ,"Danish, Rome 1804–1880 Frederiksberg","Hansen, Constantin",Danish,http://vocab.getty.edu/page/ulan/500005135,https://www.wikidata.org/wiki/Q539474,CH159
Léon Fleury,1804      ,1858      ,"French, Paris 1804–1858 Paris",Fleury Léon,French,http://vocab.getty.edu/page/ulan/500024923,https://www.wikidata.org/wiki/Q3083823,LF100
Robert-Léopold Leprince,1800      ,1847      ,"French, Paris 1800–1847 Chartres","Leprince, Robert-Léopold",French,http://vocab.getty.edu/page/ulan/500022009,https://www.wikidata.org/wiki/Q16661724,RL098
August Lucas,1803      ,1863      ,"German, Darmstadt 1803–1863 Darmstadt","Lucas, August",German,http://vocab.getty.edu/page/ulan/500029350,https://www.wikidata.org/wiki/Q762801,AL212
Gustaf Söderberg,1799      ,1875      ,"Swedish, Norrköping 1799–1875 Stockholm",Söderberg Gustaf,Swedish,http://vocab.getty.edu/page/ulan/500271537,https://www.wikidata.org/wiki/Q372874,GS273
Lancelot Théodore Turpin de Crissé,1782      ,1859      ,"French, Paris 1782–1859 Paris","Turpin de Crissé, Lancelot Théodore",French,http://vocab.getty.edu/page/ulan/500031270,https://www.wikidata.org/wiki/Q3216954,LC230
Gustav Wilhelm Palm,1810      ,1890      ,"Swedish, Kristianstad 1810–1890 Stockholm","Palm, Gustav Wilhelm",Swedish,http://vocab.getty.edu/page/ulan/500042067,https://www.wikidata.org/wiki/Q1555443,GP203
Peder Balke,1804      ,1887      ,"Norwegian, Helgøya, Nes 1804–1887 Oslo (Kristiania)","Balke, Peder",Norwegian,http://vocab.getty.edu/page/ulan/500104171,https://www.wikidata.org/wiki/Q2272816,PB201
Nizami,1141      ,1209      ,"present-day Azerbaijan, Ganja 1141–1209 Ganja",Nizami, ,(not assigned),https://www.wikidata.org/wiki/Q234908,N077
‘Umar ibn Yusuf ibn ‘Umar ibn ‘Ali ibn Rasul al-Muzaffari,1270      ,1321      ,"Yemini, ruled 1295–96",‘Umar ibn Yusuf ibn ‘Umar ibn ‘Ali ibn Rasul al-Muzaffari,Yemini,,,‘A001
Ibn al-Ghaibi al-Tabrizi,          ,          , ,Ibn al-Ghaibi al-Tabrizi, ,,,IA027
Abdullah Haidar al-Husaini,          ,          , ,Abdullah Haidar al-Husaini, ,,,AA129
Ahmad ibn Husayn al-Mosuli,          ,          , ,Ahmad ibn Husayn al-Mosuli, ,,,AA130
Hasan ibn `Ali ibn Ahmad  Babavaih,          ,          , ,Hasan ibn `Ali ibn Ahmad Babavaih,Iranian,,,HB210
Zain(?) Hasan Sulaiman Isfahani,          ,          ,Iranian,"Hasan Sulaiman Isfahani, Zain(?)",Iranian,,,ZI001
Farrukh Chela,          ,          ,Indian,Farrukh Chela,Indian,,,FC227
Abu'l Qasim Firdausi,0935      ,1020      ,"Iranian, Paj ca. 940/41–1020 Tus",Abu'l Qasim Firdausi,Iranian,,https://www.wikidata.org/wiki/Q43459,AF167
`Abd al-Rahman al-Sufi,0903      ,0986      ,"Iranian, Rey 903–986 Shiraz",Al-Sufi `Abd al-Rahman,Iranian,(not assigned),https://www.wikidata.org/wiki/Q11075,`A001
Ibrahim Sultan,1370      ,1435      ,"Iranian, 1394–1435 Shiraz",Sultan Ibrahim,Iranian,(not assigned),https://www.wikidata.org/wiki/Q3147516,IS055
Muhammad Zaman,1624      ,1725      ,"Iranian, active 1649–1700",Muhammad Zaman,Iranian,http://vocab.getty.edu/page/ulan/500116628,https://www.wikidata.org/wiki/Q2743344,MZ021
Riza-yi 'Abbasi,1540      ,1660      ,"Iranian, ca. 1565–d. 1635",Riza-yi `Abbasi,Iranian,(not assigned),https://www.wikidata.org/wiki/Q380726,R'001
Sultan Muhammad Nur,1448      ,1561      ,"Iranian, ca. 1472–ca. 1536",Sultan Muhammad Nur,Iranian,http://vocab.getty.edu/page/ulan/500116612,https://www.wikidata.org/wiki/Q6488051,SN036
`Umar Aqta',          ,          , ,`Umar Aqta', ,http://vocab.getty.edu/page/ulan/500372298,https://www.wikidata.org/wiki/Q109119940,`A003
Ibn Bakhtishu',0958      ,1058      ,died 1058,Ibn Bakhtishu', ,,,IB045
Muhammad ibn Badr al-Din Jajarmi,1315      ,1365      ,"Iranian, active 1340s",Muhammad ibn Badr al-Din Jajarmi,Iranian,,,MJ057
Khem Karan,          ,          , ,Khem Karan, ,http://vocab.getty.edu/page/ulan/500332116,,KK050
Mahmud 'Abd-al Baqi,1526      ,1600      ,1526–1600,"'Abdal Baqi, Mahmud",Ottoman,,,MB264
Hafiz-i Abru,1350      ,1430      ,"Iranian, born Khorasan–1430 Zanjan",Hafiz-i Abru,Iranian,(not assigned),https://www.wikidata.org/wiki/Q4115520,HA081
Nusrat al-Din  Muhammad,          ,          , ,Nusrat al-Din Muhammad Muhammad, ,,,NM057
'Ali Quli Jabbadar,1620      ,1699      ,"Iranian, active second half 17th century",'Ali Quli Jabbadar,Iranian,,,'J001
Muhi al-Din Lari,          ,          ,"Iranian or Indian, died 1521 or 1526/27",Muhi al-Din Lari,Iranian or Indian,(not assigned),https://www.wikidata.org/wiki/Q30049877,ML149
Ahmad ibn Muhammad Astak,          ,          ,Iranian,Ahmad ibn Muhammad Astak,Iranian,,,AA132
Sharaf al-din 'Ali Yazdi,1370      ,1454      ,"Iranian, Yazd 1370s–1454 Yazd",Sharaf al-din 'Ali Yazdi,Iranian,(not assigned),https://www.wikidata.org/wiki/Q4520456,SY019
Ja`far ibn Muhammad ibn `Ali,          ,          , ,Ja'far ibn Muhammad ibn `Ali, ,,,J`001
Bichitr,1585      ,1685      ,"Indian, active ca. 1610–60",Bichitr,Indian,http://vocab.getty.edu/page/ulan/500336838,https://www.wikidata.org/wiki/Q856754,B234
Badi' al-Zaman ibn al-Razzaz al-Jazari,1136      ,1206      ,Northern Mesopotamia 1136–1206 Northern Mesopotamia,Badi' al-Zaman ibn al-Razzaz al-Jazari, ,http://vocab.getty.edu/page/ulan/500475824,https://www.wikidata.org/wiki/Q81627,BA055
Lami'i Chelebi,          ,          , ,Chelebi Lami'i, ,,,LC231
Muhammad Zaman al-Munajjim al-Asturlabi,1620      ,1715      ,"Iranian, active 1643–1689",Muhammad Zaman al-Munajjim al-Asturlabi,Iranian,,,MA114
Muslim Ibn al-Dahhan,0975      ,1025      ,Egyptian,Muslim Ibn al-Dahhan,Egyptian,http://vocab.getty.edu/page/ulan/500323020,https://www.wikidata.org/wiki/Q97998652,MA115
Farid al-Din `Attar,1142      ,1220      ,"Iranian, Nishapur ca. 1142–ca. 1220 Nishapur",Farid al-Din `Attar,Iranian,(not assigned),https://www.wikidata.org/wiki/Q194091,F`001
Abu Zayd al-Kashani,          ,          ,Iranian,Abu Zayd al-Kashani,Iranian,,,AA134
Muhammad Talib Gilani,          ,          ,Iranian,Muhammad Talib Gilani,Iranian,,,MG144
Muhammad Baqir,1725      ,1790      ,Iranian,Muhammad Baqir,Iranian,http://vocab.getty.edu/page/ulan/500116740,https://www.wikidata.org/wiki/Q28663075,MB265
Hasan Ramadan Shahi,1450      ,1550      , ,Hasan Ramadan Shahi, ,,,HS212
"Abu`l Hasan Ghaffari, known as Sani' al-Mulk",1814      ,1866      ,"Iranian, 1814–66","Ghaffari, Abu`l Hasan",Iranian,http://vocab.getty.edu/page/ulan/500116680,https://www.wikidata.org/wiki/Q4055189,AA135
Fathallah Shirazi,1825      ,1905      ,"Iranian, active 1850s–80s","Shirazi, Fathallah",Iranian,,,FS178
Shaikh Hamdullah ibn Mustafa Dede,1436      ,1520      ,"Turkish, Amasya ca. 1436–1520 Istanbul",Hamdullah ibn Mustafa Dede,Turkish,http://vocab.getty.edu/page/ulan/500336976,https://www.wikidata.org/wiki/Q3561135,SD082
Muhammad al-Zanjani,          ,          ,Iranian,al-Zanjani,Iranian,,,MA119
Kay Khusrau II,1212      ,1270      ,"Turkish, ruled 1237–46",Kay Khusrau II,Turkish,,,KI025
Philippe-Joseph Brocard,1831      ,1896      ,"French, Liège 1831–1896 Meudon","Brocard, Philippe-Joseph",French,http://vocab.getty.edu/page/ulan/500096866,https://www.wikidata.org/wiki/Q3379173,PB202
Muhammad Baha' al-Din al-'Amili,1547      ,1621      ,"Iranian, born Syria, Baalbek 1547–1621 Isfahan",Muhammad Baha' al-Din al-'Amili,"Iranian, born Syria",,,MA120
Haji Muhammad,          ,          ,Iranian,"Muhammad, Haji",Iranian,,,HM171
Mahmud ibn Muhammad ibn Abi al-Hasan,          ,          , ,Mahmud ibn Muhammad ibn Abi al-Hasan, ,,,MA121
Abu Nasr al-Naqqash,          ,          , ,"al-Naqqash, Abu Nasr", ,,,AA138
Bartolo di Fredi,1353      ,1410      ,"Italian, active by 1353–died 1410 Siena",Bartolo di Fredi,Italian,http://vocab.getty.edu/page/ulan/500031914,https://www.wikidata.org/wiki/Q177415,BF063
Workshop of  Paolo di Giovanni Fei,1369      ,1411      ,"Italian, Sienese, active by 1369, died 1411","Fei, Paolo di Giovanni",Italian,,,WF077
Osservanza Master,1425      ,1450      ,"Italian, Siena, active second quarter 15th century",Osservanza Master,Italian,http://vocab.getty.edu/page/ulan/500029605,https://www.wikidata.org/wiki/Q260114,OM033
Benvenuto di Giovanni,1436      ,1518      ,"Italian, Siena 1436–after 1518 Siena",Benvenuto di Giovanni,Italian,http://vocab.getty.edu/page/ulan/500031885,https://www.wikidata.org/wiki/Q818396,BG079
Jacopo di Cione,1355      ,1400      ,"Italian, Florence, active ca. 1360–1400",Jacopo di Cione,Italian,http://vocab.getty.edu/page/ulan/500031302,https://www.wikidata.org/wiki/Q2258950,JC584
Workshop of Fra Filippo Lippi,1406      ,1469      ,"Italian, Florence ca. 1406–1469 Spoleto","Lippi, Fra Filippo, Workshop of",Italian,,,WL106
Lorenzo Veneziano,1356      ,1372      ,"Italian, Venice, active 1356–72",Lorenzo Veneziano,Italian,http://vocab.getty.edu/page/ulan/500030488,https://www.wikidata.org/wiki/Q2656102,LV051
Master of the Dominican Effigies,1325      ,1355      ,"Italian, active Florence, ca. 1325–ca. 1355",Master of the Dominican Effigies,Italian,http://vocab.getty.edu/page/ulan/500004900,https://www.wikidata.org/wiki/Q1918357,ME058
"Italian, Neapolitan Follower of Giotto",          ,          ,active second third of the 14th century,"Italian, Neapolitan Follower of Giotto", ,,,IG022
Puccio di Simone,1340      ,1362      ,"Italian, Florence, active by ca. 1340–died 1362",Puccio di Simone,Italian,http://vocab.getty.edu/page/ulan/500116280,https://www.wikidata.org/wiki/Q3410504,PS163
Niccolò Alunno (Niccolò di Liberatore),1561      ,1502      ,"Italian, Umbria, active by ca. 1456–died 1502",Niccolò Alunno (Niccolò di Liberatore),Italian,http://vocab.getty.edu/page/ulan/500004204,https://www.wikidata.org/wiki/Q970559,NL055
Master of Frankfurt,1491      ,1515      ,"Netherlandish, active Antwerp, ca. 1496–1518",Master of Frankfurt,Netherlandish,http://vocab.getty.edu/page/ulan/500027699,https://www.wikidata.org/wiki/Q204874,MF108
Master of the Female Half-Lengths,1520      ,1550      ,"Netherlandish, active ca. 1525–50",Master of the Female Half-Lengths,Netherlandish,http://vocab.getty.edu/page/ulan/500025490,https://www.wikidata.org/wiki/Q448285,MH124
Simon Marmion,1425      ,1489      ,"French, Amiens ca. 1425–1489 Valenciennes","Marmion, Simon",French,http://vocab.getty.edu/page/ulan/500121728,https://www.wikidata.org/wiki/Q676247,SM136
Netherlandish or French,1475      ,1480      , ,Netherlandish or French,Netherlandish / French,,,NF031
Jean Hey (called Master of Moulins),1475      ,1499      ,"Netherlandish, active fourth quarter 15th century","Hey, Jean (called Master of Moulins)",Netherlandish,http://vocab.getty.edu/page/ulan/500002035,https://www.wikidata.org/wiki/Q1268739,JM458
Master of Saint Giles,1475      ,1550      ,"Netherlandish and French, active ca. 1500",Master of Saint Giles,Netherlandish/French,http://vocab.getty.edu/page/ulan/500005863,https://www.wikidata.org/wiki/Q1854159,MG146
Attributed to Corneille de Lyon,1533      ,1575      ,"Netherlandish, active by 1533, died 1575","Corneille de Lyon, Attributed to",Netherlandish,,,AL213
German,          ,          , ,German, ,,,G134
Master H.A. or A.H.,1520      ,1530      ,"Austrian, Tirol (?), active late 1520s",Master H.A. or A.H.,Austrian,http://vocab.getty.edu/page/ulan/500524477,https://www.wikidata.org/wiki/Q22704699,MA126
Diego Rodríguez de Silva y Velázquez,1599      ,1660      ,"Spanish, Seville 1599–1660 Madrid","Velázquez, Diego Rodríguez de Silva y",Spanish,http://vocab.getty.edu/page/ulan/500016881,https://www.wikidata.org/wiki/Q297,DV029
Ugolino da Siena (Ugolino di Nerio),1317      ,1349      ,"Italian, Siena, active by 1317–died ?1339/49",Ugolino da Siena (Ugolino di Nerio),Italian,http://vocab.getty.edu/page/ulan/500008502,https://www.wikidata.org/wiki/Q1357686,UN002
Bartolomeo Bulgarini,1337      ,1378      ,"Italian, Siena, active 1337–78","Bulgarini, Bartolomeo",Italian,http://vocab.getty.edu/page/ulan/500016602,https://www.wikidata.org/wiki/Q809491,BB137
workshop of Giovanni Maria Vasaro,1500      ,1530      ,"Italian (Castel Durante), active early 16th century",Vasaro Giovanni Maria, ,,,WV023
Italian,          ,          , ,Italian, ,,,I043
del Tasso,          ,          , ,del Tasso, ,,,DT026
Pietro di Giovanni d'Ambrogio,1410      ,1449      ,"Italian, Siena 1410–1449 Siena",Pietro di Giovanni d'Ambrogio,Italian,http://vocab.getty.edu/page/ulan/500032096,https://www.wikidata.org/wiki/Q4385512,PD100
Vicente do Rego Monteiro,1899      ,1970      ,"Brazil, 1899–1970","Rego Monteiro, Vicente do",Brazilian,http://vocab.getty.edu/page/ulan/500124854,https://www.wikidata.org/wiki/Q281090,VM034
F. Ring Foundry,          ,          , ,F. Ring Foundry, ,,,FF104
Albert André,1869      ,1954      ,"French, Lyons 1869–1954 Laudun","André, Albert",French,http://vocab.getty.edu/page/ulan/500012248,https://www.wikidata.org/wiki/Q2830918,AA142
Giunta di Tugio,1400      ,1466      ,"Italian (Florence), active ca. 1430–1466","Tugio, Giunta di", ,http://vocab.getty.edu/page/ulan/500055252,,GT096
Francesco Xanto Avelli da Rovigo,1482      ,1542      ,"Italian, Rovigo ca.1487–1542","Xanto Avelli da Rovigo, Francesco",Italian,http://vocab.getty.edu/page/ulan/500014839,https://www.wikidata.org/wiki/Q1643071,FR107
workshop of Francesco Patanazzi,1580      ,1620      ,"Italian (Urbino), active ca. 1580–1620",Patanazzi Francesco,Italian,,,WP114
Siena,          ,          , ,Siena,Siena,,,S205
"Andrea di Alessandri, called Il Bresciano",1530      ,1569      ,"Italian, Brescia ca. 1530–ca. 1569 Venice","di Alessandri, Andrea, called Il Bresciano",Italian,http://vocab.getty.edu/page/ulan/500044545,,AB365
Marx Merzenbach,1642      ,1688      ,"German (Augsberg), active 1642-died 1688","Merzenbach, Marx",German,,,MM223
Transylvania,1600      ,1893      , ,Transylvania,Transylvania,,,T124
Haly workshop,0018      ,0018      ,"French, 18th century",Haly workshop, ,,,HW130
Jean II Reymond,          ,          ,"French, Limoges, doc. 1606–ca. 1631","Reymond, Jean II","French, Limoges",,,JR303
Arthur Lee,1881      ,1961      ,"American (born Norway), Trondheim 1881–1961 Newtown, Connecticut","Lee, Arthur","American, born Norway",http://vocab.getty.edu/page/ulan/500011472,https://www.wikidata.org/wiki/Q4799476,AL214
School of Nottingham,          ,          ,British,School of Nottingham,British,,,SN039
Jan Crocq,1460      ,1515      ,"South Netherlandish, before 1465–after 1510",Crocq Jan,South Netherlandish,,,JC587
"Nicolaus Ranucius (Ranierius) and His Sons, Johannes and Guittone",          ,          , ,"Nicolaus Ranucius (Ranierius) and His Sons, Johannes and Guittone", ,,,NG041
Veit Stoss,1440      ,1533      ,"German, Horb am Neckar ca. 1445–1533 Nuremberg","Stoss, Veit",German,http://vocab.getty.edu/page/ulan/500004752,,VS043
Monvaerni,          ,          , ,Monvaerni, ,,,M228
Gil de Siloe,1475      ,1505      ,"Spanish, active 1475–1505","Siloe, Gil de",Spanish,http://vocab.getty.edu/page/ulan/500031391,https://www.wikidata.org/wiki/Q1283976,GS274
